content,rating,tokenized_content,sentiment
"Em nhận được hàng rồi ạ
Chờ đợi từng ngày lun ý, đặt hàng mà hôm nay là ngày thứ 4 là nhận được hàng rùi.Tặng đầy đủ cả đế để mặt bàn và kẹp ạ chính hãng amalife
Đèn được được đèn led trắng. Em thích ánh sáng vàng nên đã ra tiệm mua bóng ánh vàng rùi ạ
Nói chung là rất ưng ú ạ.",5,nhận hàng chờ_đợi lun đặt_hàng hôm_nay 4 nhận hàng rùi tặng đầy_đủ đế mặt bàn kẹp hãng amalife đèn đèn led trắng thích ánh_sáng vàng tiệm mua bóng ánh vàng rùi nói_chung ưng ú,Positive
Mình đã dự định muốn mua đèn bàn để làm việc khá lâu. Nhưng nay được săn sale và freeship nên chọn hàng của Amalife. Sau khi check hàng. Mình cảm thấy giá ok và sản phẩm cũng khá là ok phù hợp với giá tiền mình. Khi giao hàng thì trong hộp còn có giấy note nhỏ. Mình thấy nếu bạn hàng tận tâm như shop sẽ được nhiều người support thôi. Thank shop,5,dự_định mua đèn bàn làm_việc săn sale freship hàng amalife sau check hàng cảm_thấy giá ok sản_phẩm ok phù_hợp giá tiền giao hàng hộp giấy note nhỏ bạn_hàng tận_tâm cửa_hàng suport cám_ơn cửa_hàng,Positive
"Hnay nhận được đèn pixar của amalife Kèm thẻ bảo hành lên thấy rất yên tâm
Tối lắp cho con học thấy dễ  lắp đặt và chắc chắn rất oki
thấy ánh sáng vàng dịu cho mắt lên k lo con mỏi mắt khi học tập 
Từ giờ yên tâm khoản ánh sáng cho công chúa nhà tôi học rồi 
Sẽ mua thêm sản phẩm của amalife trong tương lai nhé",5,hnay nhận đèn pixar amalife kèm thẻ bảo_hành yên_tâm tối lắp học dễ lắp_đặt chắc_chắn ok ánh_sáng vàng dịu mắt k lo mỏi_mắt học_tập yên_tâm khoản ánh_sáng công_chúa học mua sản_phẩm amalife tương_lai,Positive
"Dịch vụ tốt reply nhanh, gửi hàng cực nhanh vừa đặt cái ăn hết chiếc bánh thì đèn đến nhà. Bóc ra đèn mịn đẹp miễn chê không tì vết. Có phiếu bảo hành đàng hoàng. So với giá 160k thì không có đèn nào ăn đứt được trong tầm giá.
Chủ shop có tâm xứng đáng có 10 người yêu 🥴",5,dịch_vụ tốt reply nhanh gửi hàng cực nhanh bánh đèn bóc đèn mịn đẹp miễn chê không tì_vết phiếu bảo_hành đàng_hoàng giá 160k không đèn ăn_đứt tầm giá chủ cửa_hàng tâm xứng_đáng 10 người_yêu,Positive
"Nhận hàng hôm bữa rồi nay mới có thời gian nhận xét sản  phẩm của shop .  Tham khảo mấy loại đèn cho bé nhà mình học tập mà không bị mỏi và khô mắt rồi mà vẫn chưa ưng . Được bà bạn giới thiệu gửi link sản phẩm của shop cho vào coi thử . Thấy giá hơi  rẻ so với các sản phẩm trước đây mình tham khảo lên cũng hơi đắn đo về chất lượng sản phẩm , vì mình cần sản phẩm thật tốt giá cả không quan trọng về giá thành , nhắn tin cho shop thì bạn nhân viên tư vấn nhiệt tình còn gửi cả video hướng dẫn lắp và sự dụng . Shop lớn lên mình cũng tin tưởng .  Nhận hàng mà ưng lắm đóng gói cận thận bọc bọt chống sốc nhưng hộp vẫn móp méo 1 chút nhưng sản phẩm không sao cả , kẹp bàn chắc chắn các điểm nối thân đèn dễ dàng điều chỉnh độ cao của thân đèn , ánh sáng đèn vừa phải không quá lóa quá tối . ƯNG lắm nha .
Tội bạn shipper mua gió vẫn giao hàng còn đứng đợi 1 chút vì lúc ấy mình ra ngoài chút việc nhưng vẫn vui vẻ giao hàng . Rất hài lòng sẽ ủng hộ và giới thiệu cho người thân của mình dài dài",5,nhận hàng hôm bữa thời_gian nhận_xét sản_phẩm cửa_hàng tham_khảo đèn bé học_tập không mỏi khô mắt ưng giới_thiệu gửi link sản_phẩm cửa_hàng coi thử giá rẻ sản_phẩm tham_khảo đắn_đo chất_lượng sản_phẩm sản_phẩm tốt giá_cả không quan_trọng giá_thành nhắn_tin cửa_hàng nhân_viên tư_vấn nhiệt_tình gửi video hướng_dẫn lắp dụng cửa_hàng lớn tin_tưởng nhận hàng ưng đóng_gói cận thận bọc bọt chống sốc hộp móp méo 1 chút sản_phẩm không kẹp bàn chắc_chắn nối thân đèn dễ_dàng điều_chỉnh độ thân đèn ánh_sáng đèn không lóa tối ưng nha tội shiper mua gió giao hàng đứng đợi 1 chút chút vui_vẻ giao hàng hài_lòng ủng_hộ giới_thiệu người_thân dài_dài,Positive
"bảo quản hoặc vận chuyển kém, hàng bị méo mó,chất lượng sản phẩm mỏng, độ hoàn thiện sản phẩm thô, sơn kém, đui bé, bóng đèn 3w kèm hàng loại đểu. Nếu bóng đèn chỉ phù hợp loại 3w, to hơn 3w sẽ bị lòi bóng ra ngoài gây chói mắt khi đọc ( do chóe quá bé)",2,bảo_quản vận_chuyển kém hàng méo_mó chất_lượng sản_phẩm mỏng độ hoàn_thiện sản_phẩm thô sơn kém đui bé bóng đèn 3w kèm hàng đểu bóng đèn phù_hợp 3w to 3w lòi bóng chói mắt đọc chóe bé,Negative
"Đóng gói tệ, hàng móp méo, bóng nhựa kém chất lượng. Shop muốn góp ý qua *** (thay vì rate tại Tiki) nhưng nhắn *** thì im luôn. Mình từng mua kiểu đèn này ở *** 2 năm trước nên không nghĩ là đáng thất vọng như lần này.",1,đóng_gói tệ hàng móp méo bóng nhựa kém chất_lượng cửa_hàng góp_ý thay_vì rate tiki nhắn im mua kiểu đèn 2 không đáng thất_vọng,Negative
"shop Amalife làm ăn KHÔNG hề uy tín chút nào. Shop gửi đến cho mình hộp đèn nhìn rách nát vô cùng như tồn kho mấy năm, bên ngoài móp méo lòi lõm, bên trong đèn bị cấn móp nhiều chỗ rất lớn cực kì mất thẩm mĩ. Thử hỏi mua đèn mới mà giao cái đèn như vậy ai chịu cho nổi. Inb Shop thì bị làm ngơ không thèm giải quyết, bỏ khách hàng mặc kệ. Khuyên mn ai muốn mua thì suy nghĩ cho kĩ kẻo nhận cây đèn không ra sao",1,cửa_hàng amalife làm_ăn không hề uy_tín chút cửa_hàng gửi hộp đèn rách_nát vô_cùng tồn_kho móp méo lòi lõm đèn cấn móp lớn cực_kì thẩm_mĩ thử_hỏi mua đèn giao đèn nổi inb cửa_hàng làm_ngơ không thèm giải_quyết khách_hàng mặc_kệ khuyên mn mua suy_nghĩ kĩ kẻo nhận cây đèn không,Negative
"Hàng đóng gói rất kỹ mặc dù chụp đèn bị cấn nhẹ, tuy nhiên vẫn còn đẹp, shop cho luôn đèn led 3W, đặt hàng thì báo 17/2 mới nhận hàng do nghỉ Tết nhưng nay mới ngày 10 thì tiki đã giao, nói chung là hài lòng 😀",5,hàng đóng_gói kỹ mặc_dù chụp_đèn cấn nhẹ tuy_nhiên đẹp cửa_hàng đèn led 3w đặt_hàng báo 17 2 nhận hàng nghỉ tết 10 tiki giao nói_chung hài_lòng,Positive
"Giao hàng nhanh, đúng như quảng cáo",5,giao hàng nhanh đúng quảng_cáo,Positive
"Khăn thấm nước tốt, dày dặn và lau khá êm da. Đặc biệt là không bị ra màu nhé mn. Mình sẽ lưu lại và sẽ đặt tiếp những lần tới. Shop đóng gói khá cẩn thận và ship hang khá nhanh, khoảng 2 ngày là co hàng rồi.",5,khăn thấm nước tốt dày_dặn lau êm da đặc_biệt không mn lưu tiếp cửa_hàng đóng_gói cẩn_thận ship hang nhanh 2 co hàng,Positive
"Đã mua 5 cái màu hồng, chất liệu mềm mượt êm ái, quá ok! Nên mua nhé mn. Quên kg chụp hình, mãi mê bóc hàng mang đi giặt rồi! Hihi",5,mua 5 hồng chất_liệu mềm mượt êm_ái ok mua mn quên kg chụp hình mãi mê bóc hàng đi giặt hihi,Positive
Hôm nọ mình đặt về mẹ mình thấy ưng nên nay đặt thêm nữa nè. Sản phẩm ok lắm nha shop ơi.,5,hôm mẹ ưng nè sản_phẩm ok nha cửa_hàng,Positive
"khăn mền, thấm hút nhanh. do mình ko chú ý kích thước nên khăn hơi nhỏ với nhu cầu của mình. Tiki đóng gói cẩn thận.",4,khăn mền thấm hút nhanh không chú_ý kích_thước khăn nhỏ nhu_cầu tiki đóng_gói cẩn_thận,Positive
"giao nhanh, hàng đẹp, chất lượng tuyệt vời, chỉ tiếc là vừa đặt hàng xong shop lại sale 😁😁😁",5,giao nhanh hàng đẹp chất_lượng tuyệt_vời tiếc đặt_hàng cửa_hàng sale,Positive
mình đã sử dụng rồi giao hàng nhanh chất lượng sản phẩm rất là tốt,5,sử_dụng giao hàng nhanh chất_lượng sản_phẩm tốt,Positive
tốt nên mua chỉ có điều loại này hơi nhỏ tam thì mua loại lớn hơn,4,tốt mua nhỏ tam mua lớn,Positive
"Hàng xịn lắm nha! Dầy chắc có vỏ bọc, ngồi thik lắm!

Có điều shop kiểm tra lại bên giao hàng nha! Rất là lười! Mình ở đại học An Ninh mà bắt mình chạy thêm 3km qua bên khu kí túc xá Tân Phú lấy hàng với lí do qua đại học An Ninh bạn đó phải chạy vòng qua quận 9",5,hàng xịn nha dầy vỏ bọc thích cửa_hàng kiểm_tra giao hàng nha lười đại_học an_ninh bắt chạy 3km khu kí_túc_xá tân phú hàng lí_do đại_học an_ninh chạy vòng 9,Positive
Shop không phản hồi tin nhắn của khách hàng. mình đặt hàng loại nhật nhưng bên ngoài hộp đựng in loại thế hệ mới . lúc mới nhận mình nghĩ là giao sai định trả lại nhưng mở ra kiểm thì mới biết là giao đúng loại nhật. Nhưng shop k nói về cái này dễ gây hiểu nhầm. và mình có xem đánh giá của mấy bạn mua trước thì có bạn mua loại thế hệ mới nhưng vỏ lại của nhật. còn lúc nhận hàng mình thấy giao móp méo khá nhiều. nhưng dù sao hàng nhận được vẫn OK. ngồi tốt lắm nhé các bn,4,cửa_hàng không phản_hồi nhắn khách_hàng đặt_hàng nhật hộp đựng in thế_hệ nhận giao sai định kiểm giao đúng nhật cửa_hàng k dễ nhầm đánh_giá mua mua thế_hệ vỏ nhật nhận hàng giao móp méo dù_sao hàng nhận ok tốt bn,Positive
"Đóng gói cẩn thận, hàng trong hộp. Có kèm bao vải ở ngoài, đệm dày và ngồi thoải mái, đúng mô tả
Shipper thân thiện, lịch sự
Giao hàng hơi lâu do vận chuyển từ HN vào miền Tây",5,đóng_gói cẩn_thận hàng hộp kèm bao vải đệm dày thoải_mái đúng mô_tả shiper thân_thiện lịch_sự giao hàng vận_chuyển hn miền tây,Positive
"Ngồi êm lắm, nhưng sau khi sử dụng một thời gian thì nó bị rách như thế này nhưng thấy vẫn ngồi êm. Với giá như thế này thì mình thấy hợp giá tiền rồi, ngồi đỡ đau lưng lắm. Mà quan trọng là để cái trứng ở dưới ngồi ko bị bể thật nha :)))",5,êm sau sử_dụng thời_gian rách êm giá_như hợp giá tiền đỡ đau lưng quan_trọng trứng không bể nha,Positive
"Hàng mới. Đẹp!
Cái đệm gel này nó ko êm như mình nghĩ. Da ai nhạy cảm thích trơn láng thì sẽ có cảm giác không thoải mái lắm. Lần sau mình sẽ mua cái đệm ngồi bằng cao su non sẽ êm hơn.",4,hàng đẹp đệm gel không êm da nhạy_cảm_thích trơn láng cảm_giác không thoải_mái sau mua đệm cao_su non êm,Positive
"Mình bị đau nhức lưng, hông, bàn tọa do công việc gần như ngồi suốt ngày. Lúc đặt mua mình cũng cảm thấy không tin lắm vào sp, nhưng cứ qđ dùng thử. Không ngờ dùng thích dã man luôn. Dùng sau mấy ngày hết hẳn triệu chứng đau. Sau 1 tháng dùng m thử thôi không dùng nữa thì bị đau lại. Giờ quyết định mua thêm 1 cái nữa ^_^",5,đau nhức lưng hông bàn tọa công_việc suốt mua cảm_thấy không sản_phẩm qđ dùng thử không ngờ dùng thích dã_man dùng sau hẳn triệu_chứng đau sau 1 dùng thử không dùng đau quyết_định mua 1,Positive
"Hài lòng. Lần trước mua đệm Nhật này 1 lần bên *** rồi giá gần 500k dùng rất hài lòng. Giờ mua lại thấy Tiki bán 220k cũng hơi lo lắng nhưng vì shop bán hàng chụp ảnh thật giống hệt cái mình mua lần trước nên mình cũng đánh liều mua thử, kết quả là nó chả khác gì với cái đệm 500k lần trước mình mua, tiếc tiền hùi hụi :((",5,hài_lòng mua đệm nhật 1 giá 500k dùng hài_lòng mua tiki 220k lo_lắng cửa_hàng hàng chụp ảnh giống_hệt mua đánh_liều mua thử kết_quả chả đệm 500k mua tiếc tiền hùi_hụi,Positive
"Mình mua được tầm 1 tháng, lúc đầu ngồi khá êm nhưng sau khi ngồi 1 thời gian thì bị tình trạng gãy hoặc đứt như trong hình thì lại không ngồi êm nữa. Đề nghị shop bảo hành giúp mình với ạ.",2,mua tầm 1 đầu êm sau 1 thời_gian tình_trạng gãy đứt hình không êm đề_nghị cửa_hàng bảo_hành giúp,Negative
"SP mềm mại, ngồi ghế VP thoáng khí,dễ chịu lắm. Màu đẹp, có đồ bọc bên ngoài, dễ giặt và vsinh. ko biết có phải nhờ ngồi nó ko mà thấy đỡ đau lưng 😁",5,sản_phẩm mềm_mại ghế vp thoáng_khí dễ_chịu đẹp đồ bọc dễ giặt vsinh không không đỡ đau lưng,Positive
Ổn trong tầm giá,4,ổn tầm giá,Positive
Giống như mô tả,5,giống mô_tả,Positive
"Mình order sản phẩm ngày 3 tháng 2 và nhận được sản phẩm ngày 4 tháng 2. 
+ Sản phẩm đóng gói đẹp, chắc chắn. 
+ Màu sắc hợp thời trang.
+ Giao hàng nhanh. ( Mình cũng khá bất ngờ khi nhận được sản phẩm nhanh đến vậy )
+ Nhân viên giao hàng nhanh nhẹn và rất nhã nhặn trong giao tiếp. 
Chúc tập thể nhân viên của Yogi shop và Tiki năm mới nhiều sức khỏe; nhiều tài lộc nhé.",5,order sản_phẩm 3 2 nhận sản_phẩm 4 2 sản_phẩm đóng_gói đẹp chắc_chắn màu_sắc hợp_thời_trang giao hàng nhanh bất_ngờ nhận sản_phẩm nhanh nhân_viên giao hàng nhanh_nhẹn nhã_nhặn giao_tiếp chúc tập_thể_nhân_viên yogi cửa_hàng tiki sức_khỏe tài_lộc,Positive
"ok lắm nha. Ngồi bớt đau lưng hẳn. Bạn nào hay ngồi dưới đất làm việc nhất định nên lót cái này (hoăc gối hay gì đó) cho mông cao lên để cột sống được thẳng. Bồ đoàn này hơi cao nên mình phải lấy ra 1/3 số đậu xanh ở trong, lấy cũng dễ không vấn đề gì",5,ok nha bớt đau lưng hẳn hay đất làm_việc nhất_định lót hoăc gối hay mông cột_sống thẳng bồ đoàn 1 3 đậu_xanh dễ không vấn_đề,Positive
"Sản phẩm tốt nhưng *** to ngồi chắc không vừa ,phải tăng đường kính lên 40cm thì tốt hơn,đít teo thì ok,dù sao cũng cho 5 sao vì đóng gói giao hàng rất tử tế,đợi có loại to sẽ mua thêm 1 cái tặng người yêu phúc hậu của tui!",5,sản_phẩm tốt to không đường_kính 40cm tốt đít teo ok dù_sao 5 đóng_gói giao hàng tử_tế đợi to mua 1 tặng người_yêu phúc_hậu tui,Positive
"Ruột gối là vỏ đậu xanh, cảm giác thấy thích thích, nhưng gối hơi nhỏ và khá cao nên mình đã lấy bớt phần ruột gối ra để ngồi",4,ruột gối vỏ đậu_xanh cảm_giác thích thích gối nhỏ bớt ruột gối,Positive
"Bồ đoàn có vỏ đậu bên trong.
Chất lượng, màu đẹp, đường may chắc chắn, giao hàng cũng rất nhanh nữa. Nói chung là đáng giá.",5,bồ đoàn vỏ đậu chất_lượng đẹp đường may chắc_chắn giao hàng nhanh nói_chung đáng_giá,Positive
"Sản phẩm chất lượng cao, kích thước phù hợp, đóng gói cẩn thận, giao hàng nhanh, nhân viên giao hàng thân thiện.",5,sản_phẩm_chất_lượng kích_thước phù_hợp đóng_gói cẩn_thận giao hàng nhanh nhân_viên giao hàng thân_thiện,Positive
"Gối có vẻ bền, nên bỏ bớt vỏ đậu để dễ ngồi hơn. thi thoảng các bạn nên mang ra phơi nắng để vỏ đậu không bị mốc.",5,gối vẻ bền bớt vỏ đậu dễ thi_thoảng phơi nắng vỏ đậu not-negative,Positive
"Sản phẩm tuyệt vời và shop phục vụ nhiệt tình
 Tóm lại là sẽ tiếp tục ủng hộ shop, cho shop 5 sao và sẽ ủng hộ shop nữa nhé",5,sản_phẩm tuyệt_vời cửa_hàng_phục_vụ nhiệt_tình tóm tiếp_tục ủng_hộ cửa_hàng cửa_hàng 5 ủng_hộ cửa_hàng,Positive
Chất lượng gia công tốt. Độ cao lớn hơn mình nghĩ. Nhưng có vẻ hợp lí vì trừ hao đi độ lún sau 1 thời gian sử dụng là vừa.,5,chất_lượng gia_công tốt độ lớn vẻ hợp_lí trừ_hao đi độ lún sau 1 thời_gian sử_dụng,Positive
"Đệm nhồi nhiều vỏ đỗ. Cứng cáp chắc chắn, xinh xắn. Nhưng nhỏ hơn cái cũ của mình. Giao hàng nhanh hơn so với dự kiến",4,đệm nhồi vỏ đỗ cứng_cáp chắc_chắn xinh_xắn nhỏ cũ giao hàng nhanh dự_kiến,Positive
Tôi rất hài lòng về sản phẩm sản phẩm rất đẹp rất chắc chắc Cảm ơn shop rất nhiều,5,hài_lòng sản_phẩm sản_phẩm đẹp cảm_ơn cửa_hàng,Positive
Hàng tốt chất lượng lau nau khô sẽ tiếp tục ủng hộ shop. Đáng để mua tiếp!!!!!!!!!!!!!!!!!!!!!!!,5,hàng tốt chất_lượng lau nau khô tiếp_tục ủng_hộ cửa_hàng đáng mua tiếp,Positive
"Mình thích cây lau nhà này lắm nên mua 10 tấm lót để dành sợ hết hàng như lần trước, luôn ủng hộ parroti",5,thích cây lau_nhà mua 10 lót để_dành sợ hàng ủng_hộ paroti,Positive
"sản phẩm đẹp, sử dụng nhẹ nhàng",5,sản_phẩm đẹp sử_dụng nhẹ_nhàng,Positive
"Miếng lau nhà đạt chuẩn, hút bẩn tuyệt đối, kích thước ok, nói chung nếu miếng lau hỏng nên mua trên tiki cho đúng hãng!",5,miếng lau đạt chuẩn hút bẩn tuyệt_đối kích_thước ok nói_chung miếng lau hỏng mua tiki đúng hãng,Positive
"giao nhanh, đúng mô tả. rất thích",5,giao nhanh đúng mô_tả thích,Positive
Hàng real xài vẫn chuẩn hơn hàng ***,5,hàng real xài chuẩn hàng,Positive
"tốt, mua lần 2 và sẽ quay lại",5,tốt mua 2,Positive
"Nhận hàng nhanh, sp tuyệt vời",5,nhận hàng nhanh sản_phẩm tuyệt_vời,Positive
"Sp tốt, thấm nc ok, rất đáng mua",5,sản_phẩm tốt thấm nc ok đáng mua,Positive
"- To chứ ko phải 4 cục chút xíu nha mọi ng oiii
- Shop gói hàng kĩ 
- Chêm vào 4 chân máy giặt vừa vặn. Có review nói là sẽ giúp mặt giặt bớt ồn, mình để ý thấy cũng có giảm ồn thật nha mọi ng nhưng đừng kì vọng quá nhiều tại tác dụng 4 cục này ko phải chống ồn
- Trong hộp có kèm 1 thư cảm ơn của shop. Mình đọc hết nha shop và cảm ơn sự chu đáo này. 
5 sao, đáng mua.",5,to không 4 cục chút_xíu nha ng oi cửa_hàng gói hàng kĩ chêm 4 chân máy_giặt vừa_vặn review giúp mặt giặt bớt ồn để_ý ồn nha ng đừng kì_vọng tác_dụng 4 cục không chống ồn hộp kèm 1 thư cảm_ơn cửa_hàng đọc nha cửa_hàng cảm_ơn chu_đáo 5 đáng mua,Positive
"Quá hài lòng về bộ  sản phẩm này luôn. Dùng chắc chắn, hình thức đẹp. Cao su mềm, phần thân đế chắc chắn, chống rung rất OK. Giao hàng siêu nhanh. Hy vọng Shop giữ vững phong độ cung cấp những sản phẩm tốt như thế này. Mua hàng trên Tiki thấy rất yên tâm về chất lượng.",5,hài_lòng sản_phẩm dùng chắc_chắn hình_thức đẹp cao_su mềm thân đế chắc_chắn chống rung ok giao hàng siêu nhanh hy_vọng cửa_hàng vững phong_độ cung_cấp sản_phẩm tốt mua hàng tiki yên_tâm chất_lượng,Positive
"Đơn giản mà hiệu quả. Mình thấy nó hiệu quả hơn cả cái khung thép không gỉ to vừa đắt hơn mà lại không hiệu quả bằng 4 chân đế này. Tuy nhiên mình thấy chất liệu cao su hơi cứng, nếu đàn hồi cao hơn nữa chắc sẽ êm và hấp thụ rung nhiều hơn.",5,đơn_giản hiệu_quả hiệu_quả khung thép không_gỉ to đắt mà_lại không hiệu_quả 4 chân_đế tuy_nhiên chất_liệu cao_su cứng đàn_hồi êm hấp_thụ rung,Positive
"Giao hàng cũ, 4 đế bám đầy đất cát, của người khác xài rồi trả lại. Chất lượng hoàn thiện cực kỳ xấu, tốt nhất đừng mua, tránh xa mấy shop kiểu này",1,giao hàng cũ 4 đế bám đất_cát xài chất_lượng hoàn_thiện cực_kỳ xấu tốt đừng mua cửa_hàng kiểu,Negative
"Giá bán đắt hơn so với sản phẩm cùng loại bán trên *** hoặc cửa hàng khác.
Chân đế bằng nhựa cứng mà màu nhựa không xịn sò cũng như trên clip quảng cáo",1,giá đắt sản_phẩm cửa_hàng chân_đế nhựa cứng nhựa not-positive sò clip quảng_cáo,Negative
Cực kỳ hài lòng. Tôi đã vứt vỏ chân đế inox. Dùng cái này giúp máy giặt êm ái và ko hề bị di chuyển,5,cực_kỳ hài_lòng vứt vỏ chân_đế inox dùng giúp máy_giặt êm_ái không hề di_chuyển,Positive
Sản phẩm đúng công năng như mô tả. Sản phẩm hữu ích hơn nếu đế cao su dày thêm 1 phân.,5,sản_phẩm đúng công_năng mô_tả sản_phẩm hữu_ích đế cao_su dày 1 phân,Positive
"Giao hàng nhanh, chất lượng qua kt thấy Ok. Bền và hiệu quả sử dụng phải chờ thời gian.",5,giao hàng nhanh chất_lượng kt ok bền hiệu_quả sử_dụng chờ thời_gian,Positive
"Quá ưng ý nha cả nhà, cái máy giặt nhà mình chảy chồm chồm xoay 90 độ vậy mà đặt chân vào đứng im. Cho shop 5*",5,ưng_ý nha nhà_cái máy_giặt chảy chồm chồm xoay 90 độ vậy_mà đặt_chân đứng im cửa_hàng 5,Positive
"Sản phẩm rất tốt, sau khi sử dụng máy giặt không còn rung lắc.",5,sản_phẩm tốt sau sử_dụng máy_giặt không rung lắc,Positive
"Sản phẩm giao đúng hình ảnh. Nhà bán giao nhanh. Đóng gói rất cẩn thận. Sảm phẩm gối tựa cũng êm. mình mua cho em cháu gối, bé rất thích",4,sản_phẩm giao đúng hình_ảnh giao nhanh đóng_gói cẩn_thận sảm phẩm gối tựa êm mua gối bé thích,Positive
"gối cổ to, bao quanh toàn bộ vai gáy rất phù hợp với dân văn phòng đặc biệt là coder như tui thường hay bị đau mỏi vai gáy 
đặc biệt là có màu hồng cho 5 sao",5,gối cổ to bao quanh toàn_bộ vai gáy phù_hợp dân văn_phòng đặc_biệt coder tui hay đau mỏi vai gáy đặc_biệt hồng 5,Positive
"sản phẩm chính hãng, giao hàng nhanh, cảm ơn shop và tiki rất nhiều. sẽ ủng hộ lần sau nữa.",5,sản_phẩm hãng giao hàng nhanh cảm_ơn cửa_hàng tiki ủng_hộ sau,Positive
"nhận hàng, kiểm tra ok nên đem đi giặt luôn 😋",5,nhận hàng kiểm_tra ok đem đi giặt,Positive
đường may bị đứt chỉ sau thời gian sử dụng mặc dù giữ rất cẩn thẩn,3,đường may đứt sau thời_gian sử_dụng mặc_dù cẩn thẩn,Negative
Giao không giống mô tả! Hàng nhái!,2,giao không giống mô_tả hàng nhái,Negative
"Không giống như quản cáo, nhái",2,không giống quản_cáo nhái,Negative
"Hàng sạo, không giống mô tả!",2,hàng sạo không giống mô_tả,Negative
"chất liệu ok, giá cả hợp lý",5,chất_liệu ok giá_cả hợp_lý,Positive
o.o hay bị các sợi lông nhỏ lm ngứa,3,o_o hay sợi lông nhỏ lm ngứa,Negative
"Tiki đóng gói vô cùng cẩn thận. Tối khuya nay đặt, sáng sớm mai có hàng. Đúng là vẫn luôn tin tưởng về cung cách dịch vụ của Tiki không bao giờ làm mình thất vọng. 
Còn về chất lượng Lock n Lock thì nào giờ vừa tốt, vừa đẹp rồi, không bàn cãi. Nay lại chạy promotion cho tiki giảm giá thích ơi là thích!",5,tiki đóng_gói vô_cùng cẩn_thận tối khuya sớm_mai hàng đúng tin_tưởng cung_cách dịch_vụ tiki không bao_giờ thất_vọng chất_lượng lock n lock tốt đẹp không bàn_cãi chạy promotion tiki giảm_giá thích thích,Positive
"Bình rất đẹp, để lên bếp sang hẳn. Nhưng giá vẫn quá chát với một bình thủy tinh. Bình nhỏ, ko đựng đủ 1l dầu. Đổ vô một nửa, còn nửa lại bỏ vào chai như cũ. Nắp rất là lỏng lẻo. Có phần hở nhỏ, ko biết để lâu có côn trùng hay con gì bò vào hay ko. Mà bò vào, ko lẽ lại đem bỏ bình dầu. Nắp nhựa rất bự, và nó vẫn là bằng nhựa. Một điểm mình rất bự. Phần nắp nếu bị dơ, muốn rửa sẽ rất khó với phần đầu bự như vậy. Nói chung, mình thấy tiếc tiền.",5,bình đẹp bếp hẳn giá chát bình thủy_tinh bình nhỏ không đựng 1l dầu đổ vô nửa nửa chai cũ nắp lỏng_lẻo hở nhỏ không côn_trùng hay bò hay không bò không_lẽ đem bình dầu nắp nhựa bự nhựa bự nắp dơ rửa đầu bự nói_chung tiếc tiền,Positive
"Huhu, sp tuyệt vời quá ạ, lúc đầu đọc mô tả và cmt thì mình tưởng bình có phần gạt đóng/mở hay sao đó, nhưng nhận rồi mới biết chỉ cần nghiêng bình là có thể mở ra được rồi...nhận sp mà thích lắm luôn dù chưa xài..vs Tiki giao hành siêu nhanh, mình chọn dịch vụ thường mà hôm qua đặt sáng nay đã có hàng, tiki tiếp tục phát huy như v nha, mãi yêu ??",5,huhu sản_phẩm tuyệt_vời đầu_đọc mô_tả cmt tưởng bình gạt đóng hay nhận nghiêng bình có_thể nhận sản_phẩm thích xài tiki giao hành siêu nhanh dịch_vụ hôm_qua hàng tiki tiếp_tục phát_huy v nha mãi yêu,Positive
"ui rất thích bình này, tiện dụng cực kì vì thao tác đơn giản không vặn/nắp lại gì cả, nghiêng là tự mở tự đóng rồi! bất lợi có thể là do ko vặn nên sơ suất có thể đổ, tuy nhiên thiết kế thuỷ tinn nên khi dùng mình cũng đã chuẩn bị sẵn tâm lý cẩn thận. 5 sao nha",5,thích bình tiện_dụng cực_kì thao_tác đơn_giản không vặn nắp nghiêng đóng bất_lợi có_thể không vặn sơ_suất có_thể đổ tuy_nhiên thiết_kế thuỷ dùng chuẩn_bị sẵn tâm_lý cẩn_thận 5 nha,Positive
"Trong phần nội dung mô tả, shop ghi sản phẩm có phần gạt ở trên tay cầm nhưng sản phẩm thực tế không có. Rồi nói sản phẩm chống tràn nhưng miệng rót lại hở, không có nút bịt bằng cao su hay vật liệu khác, đựng nước mắm bay mùi hôi. Rất mong nhận được phản hồi của shop.",3,nội_dung mô_tả cửa_hàng ghi sản_phẩm gạt tay_cầm sản_phẩm thực_tế không sản_phẩm chống tràn miệng rót hở không nút bịt cao_su hay vật_liệu đựng nước_mắm bay mùi hôi mong nhận phản_hồi cửa_hàng,Negative
"Trưa hôm trước đặt, trưa hôm sau có luôn mặc dù ở tỉnh lẻ.
Giao hàng nhanh, anh giao hàng thân thiện, trời thì mưa.
Mình kiểm tra trước khi nhận hàng thì còn nguyên, bình được đựng trong túi chống sốc và hộp của nó, tiếp là hộp của tiki với sản phẩm khác mình mua nữa. Ngoài thùng cũng không được dán cảnh báo hàng dễ vỡ.
Hàng đúng như mô tả. Chỉ là nó nhỏ hơn so với tưởng tượng của mình.",5,trưa hôm trưa hôm sau mặc_dù tỉnh_lẻ giao hàng nhanh giao hàng thân_thiện trời mưa kiểm_tra nhận hàng nguyên bình đựng túi chống sốc hộp tiếp hộp tiki sản_phẩm mua thùng không dán cảnh_báo hàng dễ vỡ hàng đúng mô_tả nhỏ tưởng_tượng,Positive
